Sbswat,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
140,0.0,-0.20450000000000013,-0.40900000000000003,-0.6135,-0.8180000000000001,-1.0225
141,0.0,-0.7011666666666669,-1.4023333333333334,-2.1035,-2.804666666666667,-3.5058333333333334
142,0.0,-0.3154999999999999,-0.631,-0.9465,-1.262,-1.5775000000000001
143,0.0,-0.13716666666666666,-0.2743333333333333,-0.4115,-0.5486666666666666,-0.6858333333333333
144,0.0,-0.6043333333333334,-1.2086666666666668,-1.8130000000000002,-2.4173333333333336,-3.0216666666666665
145,0.0,-0.07366666666666666,-0.14733333333333332,-0.22099999999999997,-0.29466666666666663,-0.36833333333333335
146,0.0,-0.5391666666666666,-1.0783333333333331,-1.6174999999999997,-2.1566666666666663,-2.6958333333333333
147,0.0,-0.29500000000000015,-0.5900000000000001,-0.885,-1.1800000000000002,-1.475
148,0.0,-0.4241666666666668,-0.8483333333333334,-1.2725,-1.6966666666666668,-2.120833333333333
149,0.0,-0.40533333333333355,-0.8106666666666666,-1.216,-1.6213333333333333,-2.0266666666666664
150,0.0,-0.47266666666666657,-0.9453333333333334,-1.418,-1.8906666666666667,-2.3633333333333333
151,0.0,-0.31266666666666665,-0.6253333333333333,-0.938,-1.2506666666666666,-1.5633333333333332
152,0.0,-0.2266666666666668,-0.45333333333333337,-0.68,-0.9066666666666667,-1.1333333333333333
153,0.0,-0.5223333333333335,-1.0446666666666666,-1.567,-2.0893333333333333,-2.6116666666666664
154,0.0,-0.2726666666666666,-0.5453333333333332,-0.8179999999999998,-1.0906666666666665,-1.3633333333333333
155,0.0,-0.2776666666666665,-0.5553333333333332,-0.833,-1.1106666666666665,-1.3883333333333332
156,0.0,-0.8266666666666671,-1.6533333333333333,-2.48,-3.3066666666666666,-4.133333333333333
157,0.0,-0.8748333333333331,-1.7496666666666667,-2.6245,-3.4993333333333334,-4.3741666666666665
158,0.0,-1.5126666666666662,-3.025333333333333,-4.538,-6.050666666666666,-7.5633333333333335
159,0.0,-0.7976666666666667,-1.5953333333333335,-2.3930000000000002,-3.190666666666667,-3.9883333333333337
160,0.0,-1.017666666666666,-2.035333333333333,-3.053,-4.070666666666666,-5.088333333333333
161,0.0,-0.17433333333333334,-0.3486666666666667,-0.523,-0.6973333333333334,-0.8716666666666667
162,0.0,-0.3061666666666667,-0.6123333333333334,-0.9185000000000001,-1.2246666666666668,-1.5308333333333333
163,0.0,-0.5345,-1.069,-1.6035,-2.138,-2.6725
164,0.0,-0.24816666666666665,-0.4963333333333334,-0.7445,-0.9926666666666668,-1.2408333333333335
165,0.0,-0.46783333333333355,-0.9356666666666666,-1.4035,-1.8713333333333333,-2.3391666666666664
166,0.0,-1.9586666666666677,-3.9173333333333336,-5.876,-7.834666666666667,-9.793333333333333
167,0.0,-0.3496666666666668,-0.6993333333333334,-1.049,-1.3986666666666667,-1.7483333333333333
168,0.0,0.0,0.0,0.0,0.0,0.0
169,0.0,0.0,0.0,0.0,0.0,0.0
