Sbswat,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
148,0.0,-0.13850000000000007,-0.277,-0.4155,-0.554,-0.6925
149,0.0,0.0,0.0,0.0,0.0,0.0
150,0.0,-0.022166666666666668,-0.044333333333333336,-0.0665,-0.08866666666666667,-0.11083333333333334
151,0.0,-0.03266666666666665,-0.06533333333333333,-0.098,-0.13066666666666665,-0.16333333333333333
152,0.0,-0.21283333333333343,-0.42566666666666664,-0.6385,-0.8513333333333333,-1.0641666666666665
153,0.0,-0.17233333333333334,-0.3446666666666667,-0.517,-0.6893333333333334,-0.8616666666666667
154,0.0,-0.05016666666666664,-0.10033333333333333,-0.1505,-0.20066666666666666,-0.25083333333333335
155,0.0,-0.22916666666666674,-0.45833333333333337,-0.6875,-0.9166666666666667,-1.1458333333333333
156,0.0,-0.8186666666666662,-1.6373333333333333,-2.456,-3.2746666666666666,-4.093333333333334
157,0.0,-0.6074999999999999,-1.2149999999999999,-1.8224999999999998,-2.4299999999999997,-3.0375
158,0.0,-0.1818333333333334,-0.3636666666666667,-0.5455,-0.7273333333333334,-0.9091666666666667
159,0.0,-0.32566666666666655,-0.6513333333333333,-0.977,-1.3026666666666666,-1.6283333333333334
160,0.0,-0.20516666666666672,-0.4103333333333333,-0.6155,-0.8206666666666667,-1.0258333333333334
161,0.0,-0.3045,-0.609,-0.9135,-1.218,-1.5225
162,0.0,-0.48850000000000016,-0.9770000000000001,-1.4655,-1.9540000000000002,-2.4425
163,0.0,-0.3091666666666668,-0.6183333333333334,-0.9275,-1.2366666666666668,-1.5458333333333334
164,0.0,-0.20483333333333342,-0.40966666666666673,-0.6145,-0.8193333333333335,-1.0241666666666667
165,0.0,-0.21150000000000002,-0.42299999999999993,-0.6345,-0.8459999999999999,-1.0574999999999999
166,0.0,-0.781333333333333,-1.5626666666666664,-2.344,-3.125333333333333,-3.9066666666666663
167,0.0,-0.25616666666666665,-0.5123333333333333,-0.7685,-1.0246666666666666,-1.2808333333333333
168,0.0,-0.345,-0.69,-1.035,-1.38,-1.7249999999999999
169,0.0,-0.26316666666666655,-0.5263333333333333,-0.7895,-1.0526666666666666,-1.3158333333333334
170,0.0,-0.1961666666666666,-0.3923333333333333,-0.5885,-0.7846666666666666,-0.9808333333333333
171,0.0,-0.3723333333333332,-0.7446666666666666,-1.117,-1.4893333333333332,-1.8616666666666666
172,0.0,-0.4228333333333332,-0.8456666666666666,-1.2685,-1.6913333333333331,-2.1141666666666667
