OID,SUBBASIN,WUPND1,WUPND2,WUPND3,WUPND4,WUPND5,WUPND6,WUPND7,WUPND8,WUPND9,WUPND10,WUPND11,WUPND12,WURCH1,WURCH2,WURCH3,WURCH4,WURCH5,WURCH6,WURCH7,WURCH8,WURCH9,WURCH10,WURCH11,WURCH12,WUSHAL1,WUSHAL2,WUSHAL3,WUSHAL4,WUSHAL5,WUSHAL6,WUSHAL7,WUSHAL8,WUSHAL9,WUSHAL10,WUSHAL11,WUSHAL12,WUDEEP1,WUDEEP2,WUDEEP3,WUDEEP4,WUDEEP5,WUDEEP6,WUDEEP7,WUDEEP8,WUDEEP9,WUDEEP10,WUDEEP11,WUDEEP12
71,71,0,0,0,0,0,0,0,0,0,0,0,0,0.04153,0.04486,0.04131,0.04354,0.04401,0.04343,0.04157,0.04112,0.04232,0.04122,0.04289,0.04149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,72,0,0,0,0,0,0,0,0,0,0,0,0,0.05316,0.05715,0.05279,0.05606,0.05732,0.05588,0.0533,0.05256,0.05404,0.05255,0.0548,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,73,0,0,0,0,0,0,0,0,0,0,0,0,0.00539,0.0057,0.00532,0.00577,0.00612,0.00574,0.00542,0.00529,0.00542,0.00527,0.00553,0.00535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,74,0,0,0,0,0,0,0,0,0,0,0,0,0.00785,0.00828,0.00774,0.00845,0.00905,0.00839,0.0079,0.00769,0.00787,0.00766,0.00806,0.00779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,75,0,0,0,0,0,0,0,0,0,0,0,0,0.0032,0.00333,0.00314,0.00348,0.00383,0.00345,0.00322,0.00311,0.00318,0.0031,0.00328,0.00317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,76,0,0,0,0,0,0,0,0,0,0,0,0,0.00838,0.00879,0.00825,0.00906,0.00984,0.009,0.00844,0.00818,0.00836,0.00816,0.0086,0.00832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,77,0,0,0,0,0,0,0,0,0,0,0,0,0.00316,0.00333,0.00311,0.0034,0.00366,0.00338,0.00318,0.00309,0.00316,0.00308,0.00324,0.00313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,78,0,0,0,0,0,0,0,0,0,0,0,0,0.00229,0.00241,0.00226,0.00247,0.00265,0.00245,0.00231,0.00224,0.0023,0.00223,0.00235,0.00227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,79,0,0,0,0,0,0,0,0,0,0,0,0,0.02369,0.02499,0.02337,0.02548,0.02728,0.02533,0.02384,0.02321,0.02375,0.02314,0.02434,0.02353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,80,0,0,0,0,0,0,0,0,0,0,0,0,0.03195,0.03356,0.03148,0.03447,0.03727,0.03424,0.03214,0.03121,0.0319,0.03116,0.03283,0.03173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,81,0,0,0,0,0,0,0,0,0,0,0,0,0.0088,0.00921,0.00866,0.00954,0.01037,0.00947,0.00887,0.0086,0.00878,0.00855,0.00902,0.00872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,82,0,0,0,0,0,0,0,0,0,0,0,0,0.01934,0.02029,0.01905,0.02095,0.02272,0.0208,0.0195,0.01892,0.01933,0.01881,0.01983,0.01917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,83,0,0,0,0,0,0,0,0,0,0,0,0,0.02263,0.02423,0.02244,0.02396,0.02475,0.02387,0.0227,0.02232,0.02293,0.02232,0.02332,0.02256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,84,0,0,0,0,0,0,0,0,0,0,0,0,0.03496,0.03727,0.03462,0.03722,0.03886,0.03705,0.03513,0.03445,0.03534,0.03436,0.03596,0.03477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,85,0,0,0,0,0,0,0,0,0,0,0,0,0.04224,0.04513,0.04185,0.0448,0.04652,0.04462,0.04238,0.04162,0.04272,0.04161,0.04352,0.04208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,86,0,0,0,0,0,0,0,0,0,0,0,0,0.03873,0.04101,0.03826,0.0415,0.04404,0.04127,0.03895,0.03802,0.03894,0.03792,0.03981,0.03849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,87,0,0,0,0,0,0,0,0,0,0,0,0,0.04781,0.05007,0.04705,0.05174,0.05629,0.05138,0.04813,0.04665,0.04764,0.04651,0.04908,0.04743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,88,0,0,0,0,0,0,0,0,0,0,0,0,0.04596,0.04925,0.04559,0.04868,0.05018,0.0485,0.04614,0.04541,0.04664,0.04531,0.04732,0.04576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,89,0,0,0,0,0,0,0,0,0,0,0,0,0.05787,0.06218,0.05745,0.06112,0.06257,0.06092,0.05807,0.05725,0.05886,0.05713,0.05959,0.05763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,90,0,0,0,0,0,0,0,0,0,0,0,0,0.23702,0.2497,0.23373,0.2544,0.27321,0.25284,0.23787,0.2314,0.23669,0.23201,0.24415,0.23599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,91,0,0,0,0,0,0,0,0,0,0,0,0,0.17849,0.18797,0.176,0.19096,0.20532,0.18977,0.17857,0.17365,0.1776,0.17527,0.18446,0.1783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
