OID,SUBBASIN,WUPND1,WUPND2,WUPND3,WUPND4,WUPND5,WUPND6,WUPND7,WUPND8,WUPND9,WUPND10,WUPND11,WUPND12,WURCH1,WURCH2,WURCH3,WURCH4,WURCH5,WURCH6,WURCH7,WURCH8,WURCH9,WURCH10,WURCH11,WURCH12,WUSHAL1,WUSHAL2,WUSHAL3,WUSHAL4,WUSHAL5,WUSHAL6,WUSHAL7,WUSHAL8,WUSHAL9,WUSHAL10,WUSHAL11,WUSHAL12,WUDEEP1,WUDEEP2,WUDEEP3,WUDEEP4,WUDEEP5,WUDEEP6,WUDEEP7,WUDEEP8,WUDEEP9,WUDEEP10,WUDEEP11,WUDEEP12
74,74,0,0,0,0,0,0,0,0,0,0,0,0,0.05793,0.06295,0.05766,0.0609,0.06094,0.06063,0.05781,0.05781,0.06381,0.05736,0.05969,0.05739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,75,0,0,0,0,0,0,0,0,0,0,0,0,0.02931,0.03181,0.02901,0.0313,0.03177,0.03131,0.02953,0.02944,0.03024,0.02916,0.03063,0.02943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,76,0,0,0,0,0,0,0,0,0,0,0,0,0.12056,0.13091,0.11937,0.12851,0.13029,0.12856,0.12141,0.12105,0.12445,0.11999,0.12597,0.12107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,77,0,0,0,0,0,0,0,0,0,0,0,0,0.01603,0.0174,0.01587,0.01714,0.01742,0.01715,0.01617,0.01611,0.01655,0.01595,0.01676,0.0161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,78,0,0,0,0,0,0,0,0,0,0,0,0,0.05377,0.05812,0.05338,0.05699,0.05802,0.05661,0.05352,0.05352,0.06114,0.05298,0.05534,0.05302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,79,0,0,0,0,0,0,0,0,0,0,0,0,0.19402,0.21057,0.192,0.20688,0.21024,0.20697,0.19533,0.19471,0.19993,0.19318,0.20299,0.19503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,80,0,0,0,0,0,0,0,0,0,0,0,0,0.14043,0.15172,0.13837,0.15206,0.15736,0.15216,0.14199,0.14136,0.14478,0.13941,0.14749,0.14129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,81,0,0,0,0,0,0,0,0,0,0,0,0,0.01466,0.01591,0.01451,0.01567,0.01593,0.01568,0.01478,0.01473,0.01513,0.01458,0.01532,0.01472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,82,0,0,0,0,0,0,0,0,0,0,0,0,0.07813,0.08438,0.0775,0.083,0.08478,0.08244,0.0778,0.07778,0.08888,0.07695,0.08046,0.07705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,83,0,0,0,0,0,0,0,0,0,0,0,0,0.13202,0.14439,0.13163,0.13776,0.13534,0.13775,0.13228,0.13217,0.13681,0.13178,0.13682,0.13211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,84,0,0,0,0,0,0,0,0,0,0,0,0,0.01798,0.01943,0.01772,0.01944,0.02006,0.01945,0.01817,0.01809,0.01854,0.01785,0.01886,0.01808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,85,0,0,0,0,0,0,0,0,0,0,0,0,0.13288,0.14266,0.13015,0.14627,0.15508,0.14641,0.13482,0.13399,0.13675,0.13161,0.14054,0.1341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,86,0,0,0,0,0,0,0,0,0,0,0,0,2.8541,3.1128,2.84149,2.99364,2.96937,2.99003,2.85909,2.8565,3.00758,2.84124,2.95632,2.8494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,87,0,0,0,0,0,0,0,0,0,0,0,0,0.38656,0.42301,0.38555,0.40288,0.39491,0.40293,0.38733,0.38702,0.39929,0.38605,0.40061,0.38698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,88,0,0,0,0,0,0,0,0,0,0,0,0,0.02638,0.02862,0.0261,0.02825,0.02876,0.02826,0.02661,0.02652,0.02723,0.02623,0.02759,0.0265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,89,0,0,0,0,0,0,0,0,0,0,0,0,0.42184,0.4532,0.41346,0.46264,0.48933,0.46305,0.42739,0.42483,0.43374,0.41823,0.44616,0.42591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,90,0,0,0,0,0,0,0,0,0,0,0,0,0.46299,0.49971,0.45578,0.49935,0.51904,0.4997,0.46671,0.4645,0.47546,0.46061,0.488,0.46721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,91,0,0,0,0,0,0,0,0,0,0,0,0,1.03701,1.11986,1.02138,1.11041,1.15219,1.11116,1.04174,1.03695,1.06172,1.03414,1.09469,1.04845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,92,0,0,0,0,0,0,0,0,0,0,0,0,0.47037,0.50751,0.4629,0.49842,0.5194,0.49878,0.46948,0.46719,0.47809,0.47116,0.49931,0.47799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
