Sbswat,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
58,0.0,-0.07065905364875283,-0.14556066886672567,-0.23070820173364964,-0.3379814065522465,-0.5035571803075445
59,0.0,-0.09722590879922839,-0.20028952533587674,-0.31745138694460456,-0.46505787598902637,-0.692887916828788
60,0.0,-0.09431715636983365,-0.19429737107783732,-0.3079540471470754,-0.45114452466838567,-0.6721584689247744
61,0.0,-0.038480139993385516,-0.07927073214659874,-0.12564113785707007,-0.1840609400734784,-0.27423167722047176
62,0.0,-0.005241682432221556,-0.010798089719881243,-0.01711456728543438,-0.02507238789170667,-0.03735525299783953
63,0.0,-0.004115619449217404,-0.008478351872740719,-0.013437869786213025,-0.019686123411657555,-0.029330278542491987
64,0.0,-0.03272260073556993,-0.06740995533008302,-0.10684225137346982,-0.15652106915602187,-0.23320013087981706
65,0.0,-0.016329684258541418,-0.03363984712945111,-0.05331789623017224,-0.07810930615758853,-0.11637475080574831
66,0.0,-0.10202879252640056,-0.21018367097914537,-0.33313323676585893,-0.4880313707330392,-0.7271160371065141
67,0.0,-0.054827040715467186,-0.11294604592638029,-0.17901524739804223,-0.2622525972429007,-0.3907291224777803
68,0.0,-0.11650939877190764,-0.240014338414484,-0.3804137260223544,-0.5572960355403935,-0.8303131912373785
69,0.0,-0.030868448504578226,-0.06359032253022247,-0.10078827661916627,-0.14765215644587235,-0.2199863724003953
70,0.0,-0.014242446368864395,-0.029340047915953963,-0.04650287571614894,-0.0681254815613949,-0.10149988945278449
71,0.0,-0.01139043986726858,-0.023464792693202126,-0.037190816505921154,-0.05448356139505371,-0.08117484576763287
72,0.0,-0.012498923718854537,-0.025748316778691546,-0.04081011655091545,-0.05978574012450357,-0.08907454119089478
73,0.0,-0.007446550481283418,-0.015340212086531167,-0.024313660910261343,-0.035618869425247404,-0.05306841472874795
74,0.0,-0.010765521130577847,-0.02217743340089921,-0.035150400302666106,-0.05149440568604126,-0.07672131432729362
75,0.0,-0.008849464185962977,-0.018230274246584695,-0.028894301058699366,-0.042329385950646545,-0.06306638714506432
76,0.0,-0.0039399815871771614,-0.008116530374196622,-0.012864396279065899,-0.018845999908853772,-0.028078581810125812
77,0.0,-0.008633617433237557,-0.01778562071562168,-0.028189541886309736,-0.04129693242461265,-0.061528138660712155
